log_id,facility_id,booking_id,log_date,hours_actually_used,headcount,logged_by,source
L001,F001,B001,2026-08-25,1.2,18,U006,manual
L002,F004,B002,2026-08-25,2.0,35,U007,swipe
L003,F002,B003,2026-08-26,0.3,4,U002,manual
L004,F003,B004,2026-08-26,2.0,85,U001,manual
L005,F001,B006,2026-08-28,0.0,0,U006,manual
L006,F003,B007,2026-08-24,0.5,6,U001,manual
L007,F006,B010,2026-08-22,1.5,3,U007,manual
L008,F007,B012,2026-08-25,1.8,38,U007,swipe
L009,F008,B014,2026-08-27,1.9,55,U001,manual
L010,F010,B015,2026-08-24,1.0,20,U006,manual
